comuna,Población censada,latitud,longitud,region,cantidad_toneladas,residuos_per_capita
Quilaco,4440.0,-37.71302013,-71.82799944,Biobío,12.755,0.002872747747747748
Quilleco,9700.0,-37.35987961,-71.86401646,Biobío,104.9895,0.010823659793814434
Santa Bárbara,14075.0,-37.71212522,-71.81618146,Biobío,656.1893500000001,0.046620912966252225
Tucapel,15729.0,-37.28853472,-71.79264697,Biobío,355.301,0.022588912200394176
Yumbel,23170.0,-37.1625,-72.5311111,Biobío,202.405,0.008735649546827795
Alto Biobío,6016.0,-37.88378186,-71.63866245,Biobío,287.872,0.04785106382978724
Temuco,292518.0,-38.71703063,-72.56569217,Araucanía,52046.48847,0.17792576344019853
Carahue,24957.0,-38.72015115,-73.17041601,Araucanía,155.825,0.006243739231478142
Cunco,19177.0,-39.06478315,-72.08664272,Araucanía,1012.902,0.05281858476299734
Curarrehue,7733.0,-39.39013925,-71.68036409,Araucanía,2054.002098,0.2656151684986422
Freire,26164.0,-38.95444835,-72.61668839,Araucanía,2239.827,0.08560720837792388
Galvarino,12710.0,-38.4161469,-72.7823935,Araucanía,71.2,0.005601888276947286
Gorbea,14148.0,-39.11192154,-72.62119708,Araucanía,155.95,0.011022759400621996
Lautaro,41936.0,-38.5242333,-72.4369176,Araucanía,6132.14494,0.14622627193819154
Loncoche,25158.0,-39.35535658,-72.63801305,Araucanía,1323.575,0.052610501629700296
Melipeuco,6796.0,-38.84751136,-71.79249661,Araucanía,1990.703583,0.2929228344614479
Nueva Imperial,33988.0,-38.76856137,-72.85791618,Araucanía,1415.847,0.04165726138637166
Padre Las Casas,80656.0,-38.76217111,-72.60450463,Araucanía,1911.5533,0.02370007562983535
Perquenco,7438.0,-38.41611198,-72.37561951,Araucanía,240.25,0.03230034955633235
Pitrufquén,27041.0,-38.9879896,-72.6352832,Araucanía,2505.46,0.0926541178210865
Pucón,32321.0,-39.27225549,-71.97762564,Araucanía,2542.62125,0.07866777791528728
Vilcún,31575.0,-38.65488057,-72.47777071,Araucanía,33493.902,1.0607728266033254
Villarrica,67737.0,-39.2812093,-72.2282496,Araucanía,10766.2201,0.1589414957851691
Cholchol,13167.0,-38.6021996,-72.8451645,Araucanía,68.4,0.005194805194805196
Angol,53022.0,-37.80272258,-72.69950321,Araucanía,185554.491,3.499575478103429
Collipulli,24303.0,-37.95850462,-72.43904554,Araucanía,301957.546,12.424702547010655
Curacautín,18536.0,-38.4315179,-71.902553,Araucanía,3088.344,0.16661329305135952
Lonquimay,10247.0,-38.46376257,-71.35551509,Araucanía,39.2,0.003825509905338148
Los Sauces,7348.0,-37.96635124,-72.82654433,Araucanía,11.5,0.0015650517147523136
Renaico,10686.0,-37.66914691,-72.58556347,Araucanía,1126.8651,0.10545247052217854
Traiguén,18873.0,-38.26128898,-72.68582876,Araucanía,229.649,0.012168123774704604
Victoria,34464.0,-38.2281414,-72.3328874,Araucanía,3196.914,0.09276096796657382
Valdivia,170043.0,-39.816452,-73.24253353,Los Ríos,29711.47387,0.17472917950165548
Corral,5501.0,-39.87753309,-73.42617459,Los Ríos,128.394,0.023340119978185785
Lanco,16876.0,-39.45181324,-72.78416552,Los Ríos,121075.011,7.174390317610809
Los Lagos,21431.0,-39.97743717,-72.51354095,Los Ríos,4822.688,0.22503326956278288
Máfil,8074.0,-39.6961991,-72.87324,Los Ríos,512.45,0.0634691602675254
Mariquina,22973.0,-39.5367933,-72.8428058,Los Ríos,47715.30584,2.0770167518391154
Paillaco,19802.0,-40.07761171,-72.8627984,Los Ríos,817.903,0.0413040601959398
Panguipulli,35098.0,-39.64363465,-72.33649418,Los Ríos,2839.548,0.08090341329990312
La Unión,38907.0,-40.29527859,-73.0793243,Los Ríos,29782.217,0.7654719459223276
Futrono,15635.0,-40.12454289,-72.3808556,Los Ríos,892.53,0.05708538535337384
Lago Ranco,10527.0,-40.38231329,-72.50261869,Los Ríos,1191.872,0.11322048066875653
Río Bueno,33363.0,-40.33134523,-72.94853761,Los Ríos,2406.29489,0.07212465575637683
Puerto Montt,277040.0,-41.45940167,-72.97460525,Los Lagos,225983.58617667,0.815707429167882
Calbuco,36474.0,-41.81416322,-73.32583838,Los Lagos,81972.61809334,2.2474260594763393
Cochamó,4199.0,-41.72472423,-72.49164057,Los Lagos,7824.89885,1.8635148487735174
Fresia,12320.0,-41.14020827,-73.40543654,Los Lagos,118.89,0.009650162337662338
Frutillar,22554.0,-41.11666961,-73.04999757,Los Lagos,556.0565,0.024654451538529753
Los Muermos,17162.0,-41.3692783,-73.51959214,Los Lagos,128.55,0.007490385735928214
Llanquihue,18088.0,-41.22971449,-73.16811121,Los Lagos,15247.5961,0.8429674977885891
Maullín,15063.0,-41.56129749,-73.5116297,Los Lagos,270.541,0.01796063201221536
Puerto Varas,52942.0,-41.3234135,-73.0038659,Los Lagos,19331.529106,0.36514542529560656
Castro,46997.0,-42.48275753,-73.76197962,Los Lagos,23280.182906,0.4953546589356767
Ancud,40949.0,-41.87206833,-73.79173064,Los Lagos,12745.611,0.31125573274072627
Chonchi,16078.0,-42.61360294,-73.79432191,Los Lagos,69965.0569,4.35160199651698
Curaco de Vélez,3662.0,-42.42886418,-73.60788871,Los Lagos,2003.243,0.5470352266521027
Dalcahue,14894.0,-42.38625795,-73.66235539,Los Lagos,44429.08962,2.9830193111319994
Puqueldón,4048.0,-42.57493881,-73.615049,Los Lagos,2079.82862,0.5137916551383399
Queilén,5690.0,-42.74997471,-73.58228493,Los Lagos,2875.69986,0.5053954059753955
Quellón,28460.0,-43.03330141,-73.55000185,Los Lagos,110285.222091,3.8750956462052004
Quemchi,8409.0,-42.14910436,-73.48311991,Los Lagos,23722.89179,2.821131144012368
Quinchao,7678.0,-42.54603705,-73.37553854,Los Lagos,6002.43257,0.7817703269080489
Osorno,166455.0,-40.57450715,-73.13191689,Los Lagos,76960.81345,0.4623520678261392
Puerto Octay,8865.0,-40.9727514,-72.58846261,Los Lagos,2426.3308,0.2736977777777778
Purranque,19542.0,-40.82846982,-73.17984244,Los Lagos,1419.0245,0.07261408760618156
Puyehue,11712.0,-40.7065613,-72.3917192,Los Lagos,3036.767,0.259286799863388
Río Negro,13874.0,-40.73566823,-73.14969015,Los Lagos,474.649,0.03421140262361251
San Juan de la Costa,7776.0,-40.28837074,-73.52926596,Los Lagos,369.484,0.047515946502057614
San Pablo,10883.0,-40.48441688,-73.0358346,Los Lagos,1239.873,0.1139275016080125
Chaitén,4025.0,-42.5612925,-72.6045598,Los Lagos,6278.8966,1.5599743105590063
Futaleufú,3062.0,-43.19213687,-71.86998706,Los Lagos,240.895,0.07867243631613324
Hualaihué,9480.0,-41.73768015,-72.69516345,Los Lagos,6459.75955,0.6814092352320675
Aysén,23170.0,-45.41421187,-73.39421965,Aysén del Gral. Carlos Ibañez del Campo,42318.14843,1.8264198718170048
Cisnes,5137.0,-44.17623582,-74.29192523,Aysén del Gral. Carlos Ibañez del Campo,25769.739555,5.01649592271754
Guaitecas,1598.0,-43.88332964,-73.75000172,Aysén del Gral. Carlos Ibañez del Campo,1660.94446,1.039389524405507
Chile Chico,4905.0,-46.5412551,-71.7247134,Aysén del Gral. Carlos Ibañez del Campo,1162.64,0.2370316004077472
Punta Arenas,132363.0,-53.163075,-70.9033806,Magallanes y de la Antártica Chilena,47818.9299993,0.3612711256113869
Río Verde,102.0,-52.66541353,-72.1771698,Magallanes y de la Antártica Chilena,2191.0476,21.48085882352941
San Gregorio,241.0,-52.39774522,-69.75749617,Magallanes y de la Antártica Chilena,1111.37,4.611493775933609
Porvenir,6809.0,-53.29065587,-70.38887225,Magallanes y de la Antártica Chilena,13434.2023,1.9730066529593187
Primavera,431.0,-52.77201703,-69.28920925,Magallanes y de la Antártica Chilena,1206.03,2.798213457076566
Natales,24152.0,-51.7585303,-72.8936236,Magallanes y de la Antártica Chilena,27564.83257,1.1413064164458429
Torres del Paine,203.0,-51.23338613,-72.97921254,Magallanes y de la Antártica Chilena,398.0,1.9605911330049262
