comuna,latitud,longitud,region,cantidad_toneladas
Olivar,-34.20552706,-70.7636599,Libertador Gral. Bernardo O'Higgins,6995.724999999999
Rengo,-34.38970587,-70.85569476,Libertador Gral. Bernardo O'Higgins,91203.45568
Requínoa,-34.29198832,-70.80923462,Libertador Gral. Bernardo O'Higgins,33841.65113
Palmilla,-34.56499721,-71.38814552,Libertador Gral. Bernardo O'Higgins,15078.142
Rancagua,-34.15888565,-70.72735328,Libertador Gral. Bernardo O'Higgins,107169.20393
Litueche,-34.00632684,-71.52659704,Libertador Gral. Bernardo O'Higgins,112.985
Pichidegua,-34.4129932,-71.3034483,Libertador Gral. Bernardo O'Higgins,12471.264
Quinta de Tilcoco,-34.37538668,-70.98034707,Libertador Gral. Bernardo O'Higgins,31407.563000000002
Lolol,-34.80064936,-71.68524023,Libertador Gral. Bernardo O'Higgins,1656.446
Pichilemu,-34.38821496,-71.98065909,Libertador Gral. Bernardo O'Higgins,716.345
Mostazal,-33.96344414,-70.7087996,Libertador Gral. Bernardo O'Higgins,78353.97032
Peralillo,-34.4285832,-71.50008532,Libertador Gral. Bernardo O'Higgins,2238.239
Marchihue,-34.34418401,-71.65161755,Libertador Gral. Bernardo O'Higgins,178.01999999999998
Peumo,-34.36363396,-71.19638373,Libertador Gral. Bernardo O'Higgins,1516.61829
Machalí,-34.1827525,-70.6484967,Libertador Gral. Bernardo O'Higgins,23956.03069
Nancagua,-34.67670392,-71.20550407,Libertador Gral. Bernardo O'Higgins,5387.335000000001
Malloa,-34.46295391,-70.92415695,Libertador Gral. Bernardo O'Higgins,1143.654
Placilla,-34.63568776,-71.1188238,Libertador Gral. Bernardo O'Higgins,5024.977
Codegua,-34.04307124,-70.66798006,Libertador Gral. Bernardo O'Higgins,25535.389
San Vicente,-34.45850999,-71.11398763,Libertador Gral. Bernardo O'Higgins,106805.7186
Coltauco,-34.30927146,-71.16167501,Libertador Gral. Bernardo O'Higgins,9.452
Coinco,-34.2477047,-70.91997013,Libertador Gral. Bernardo O'Higgins,352.57800000000003
La Estrella,-34.24477187,-71.58474914,Libertador Gral. Bernardo O'Higgins,57641.696
Chépica,-34.7069443,-71.22555437,Libertador Gral. Bernardo O'Higgins,270.24899999999997
Chimbarongo,-34.77061875,-71.04303566,Libertador Gral. Bernardo O'Higgins,25986.5086
Santa Cruz,-34.63231915,-71.3860388,Libertador Gral. Bernardo O'Higgins,3221.80596
Graneros,-34.07640198,-70.73050901,Libertador Gral. Bernardo O'Higgins,52033.796324
Doñihue,-34.20761831,-70.89624403,Libertador Gral. Bernardo O'Higgins,47828.8822
Frutillar,-41.11666961,-73.04999757,Los Lagos,556.0565
Los Muermos,-41.3692783,-73.51959214,Los Lagos,128.55
Fresia,-41.14020827,-73.40543654,Los Lagos,118.89
Castro,-42.48275753,-73.76197962,Los Lagos,23280.182906000002
Puerto Octay,-40.9727514,-72.58846261,Los Lagos,2426.3307999999997
Dalcahue,-42.38625795,-73.66235539,Los Lagos,44429.08962
Chaitén,-42.5612925,-72.6045598,Los Lagos,6278.8966
Maullín,-41.56129749,-73.5116297,Los Lagos,270.541
Chonchi,-42.61360294,-73.79432191,Los Lagos,69965.0569
Curaco de Vélez,-42.42886418,-73.60788871,Los Lagos,2003.243
Osorno,-40.57450715,-73.13191689,Los Lagos,76960.81345
Quellón,-43.03330141,-73.55000185,Los Lagos,110285.222091
Cochamó,-41.72472423,-72.49164057,Los Lagos,7824.8988500000005
Puerto Varas,-41.3234135,-73.0038659,Los Lagos,19331.529106
Futaleufú,-43.19213687,-71.86998706,Los Lagos,240.895
Purranque,-40.82846982,-73.17984244,Los Lagos,1419.0245
Puerto Montt,-41.45940167,-72.97460525,Los Lagos,225983.58617667
Ancud,-41.87206833,-73.79173064,Los Lagos,12745.611
Queilén,-42.74997471,-73.58228493,Los Lagos,2875.6998599999997
San Juan de la Costa,-40.28837074,-73.52926596,Los Lagos,369.48400000000004
Quinchao,-42.54603705,-73.37553854,Los Lagos,6002.43257
Puqueldón,-42.57493881,-73.615049,Los Lagos,2079.8286200000002
San Pablo,-40.48441688,-73.0358346,Los Lagos,1239.873
Llanquihue,-41.22971449,-73.16811121,Los Lagos,15247.5961
Puyehue,-40.7065613,-72.3917192,Los Lagos,3036.767
Calbuco,-41.81416322,-73.32583838,Los Lagos,81972.61809334
Río Negro,-40.73566823,-73.14969015,Los Lagos,474.649
Hualaihué,-41.73768015,-72.69516345,Los Lagos,6459.75955
Quemchi,-42.14910436,-73.48311991,Los Lagos,23722.89179
La Unión,-40.29527859,-73.0793243,Los Ríos,29782.217
Lago Ranco,-40.38231329,-72.50261869,Los Ríos,1191.872
Máfil,-39.6961991,-72.87324,Los Ríos,512.45
Corral,-39.87753309,-73.42617459,Los Ríos,128.394
