comuna,latitud,longitud,region,cantidad_toneladas
Algarrobo,"-33,36162317","-71,66902625",Valparaíso,653.3301
Alhué,"-34,09258705","-71,18903008",Metropolitana de Santiago,4677.822
Alto Biobío,"-37,88378186","-71,63866245",Biobío,287.872
Alto Hospicio,"-20,24893721","-70,09737505",Tarapacá,4506.210747
Alto del Carmen,"-28,75892526","-70,48486677",Atacama,1151.36
Ancud,"-41,87206833","-73,79173064",Los Lagos,12745.611
Andacollo,"-30,2528887","-71,08701007",Coquimbo,3163.491
Angol,"-37,80272258","-72,69950321",Araucanía,185554.491
Antofagasta,"-23,51288949","-70,40188905",Antofagasta,734862.83452536
Antuco,"-37,34932502","-71,55555736",Biobío,16.599
Arauco,"-37,21707124","-73,2177903",Biobío,157639.84
Arica,"-18,4754587","-70,31406901",Arica y Parinacota,273354.37215
Aysén,"-45,41421187","-73,39421965",Aysén del Gral. Carlos Ibañez del Campo,42318.14843
Buin,"-33,73474579","-70,73084161",Metropolitana de Santiago,69627.992017
Bulnes,"-36,7432971","-72,2981833",Ñuble,1084.483
Cabildo,"-32,41656523","-71,07067454",Valparaíso,505.16200000000003
Cabo de Hornos (Ex-Navarino),"-54,54021464","-71,54412539",Magallanes y de la Antártica Chilena,241.945
Cabrero,"-37,17274039","-72,40745471",Biobío,21939.25048
Calama,"-22,50702722","-68,93408842",Antofagasta,311168.04065
Calbuco,"-41,81416322","-73,32583838",Los Lagos,81972.61809334
Caldera,"-26,9124952","-70,81237559",Atacama,2945.1255
Calera,"-32,79074483","-71,19177185",Valparaíso,29244.84027
Calera de Tango,"-33,61212384","-70,81989012",Metropolitana de Santiago,2044.11797
Calle Larga,"-32,85825172","-70,6395388",Valparaíso,484.97999999999996
Carahue,"-38,72015115","-73,17041601",Araucanía,155.825
Cartagena,"-33,57188433","-71,5150485",Valparaíso,453.27729999999997
Casablanca,"-33,46917586","-71,39702855",Valparaíso,44105.3888
Castro,"-42,48275753","-73,76197962",Los Lagos,23280.182906000002
Catemu,"-32,79958061","-70,95446046",Valparaíso,2966.8940000000002
Cauquenes,"-35,96059031","-72,34045066",Maule,868.415
Cañete,"-37,8028861","-73,4003703",Biobío,262.115
Cerrillos,"-33,48234897","-70,6932919",Metropolitana de Santiago,45552.1870492
Cerro Navia,"-33,42912669","-70,72708309",Metropolitana de Santiago,6489.54599
Chaitén,"-42,5612925","-72,6045598",Los Lagos,6278.8966
Chanco,"-35,73993067","-72,54004995",Maule,4.337
Chañaral,"-26,5392346","-70,3444497",Atacama,2065.781
Chiguayante,"-36,90280831","-73,02831022",Biobío,4030.953
Chile Chico,"-46,5412551","-71,7247134",Aysén del Gral. Carlos Ibañez del Campo,1162.64
Chillan Viejo,"-36,62910032","-72,13979955",Ñuble,3911.839421
Chillán,"-36,60197261","-72,09320754",Ñuble,39396.637
Chimbarongo,"-34,77061875","-71,04303566",Libertador Gral. Bernardo O'Higgins,25986.5086
Cholchol,"-38,6021996","-72,8451645",Araucanía,68.4
Chonchi,"-42,61360294","-73,79432191",Los Lagos,69965.0569
Chépica,"-34,7069443","-71,22555437",Libertador Gral. Bernardo O'Higgins,270.24899999999997
Cisnes,"-44,17623582","-74,29192523",Aysén del Gral. Carlos Ibañez del Campo,25769.739555
Cobquecura,"-36,12486919","-72,80045197",Ñuble,8.904
Cochamó,"-41,72472423","-72,49164057",Los Lagos,7824.8988500000005
Codegua,"-34,04307124","-70,66798006",Libertador Gral. Bernardo O'Higgins,25535.389
Coelemu,"-36,47139182","-72,70472309",Ñuble,225.152
Coihaique,"-45,56782804","-72,06814334",Aysén del Gral. Carlos Ibañez del Campo,1688.1897
Coihueco,"-36,61637375","-71,84335266",Ñuble,58.186
Coinco,"-34,2477047","-70,91997013",Libertador Gral. Bernardo O'Higgins,352.57800000000003
Colbún,"-35,85783352","-71,06391721",Maule,65.84195
Colina,"-33,09390287","-70,7096112",Metropolitana de Santiago,173933.59594399997
Collipulli,"-37,95850462","-72,43904554",Araucanía,301957.546
Coltauco,"-34,30927146","-71,16167501",Libertador Gral. Bernardo O'Higgins,9.452
Combarbalá,"-31,1413769","-71,08665641",Coquimbo,596.21
Concepción,"-36,82462481","-73,04500568",Biobío,151248.84924
Conchalí,"-33,38793653","-70,69006115",Metropolitana de Santiago,30651.632279999998
Concón,"-32,9792269","-71,48848096",Valparaíso,44901.884280000006
Constitución,"-35,33329815","-72,41670118",Maule,43847.653
Contulmo,"-38,00802192","-73,23077878",Biobío,5.336
Copiapó,"-27,3632829","-70,34508046",Atacama,21501.3401
Coquimbo,"-29,95801517","-71,33766678",Coquimbo,25499.47747
Coronel,"-37,0128236","-73,1585467",Biobío,88908.759
Corral,"-39,87753309","-73,42617459",Los Ríos,128.394
Cunco,"-39,06478315","-72,08664272",Araucanía,1012.902
Curacautín,"-38,4315179","-71,902553",Araucanía,3088.344
Curacaví,"-33,41263545","-71,05675028",Metropolitana de Santiago,15010.650253114
Curaco de Vélez,"-42,42886418","-73,60788871",Los Lagos,2003.243
Curanilahue,"-37,43221167","-73,35296887",Biobío,877.335
Curarrehue,"-39,39013925","-71,68036409",Araucanía,2054.002098
Curepto,"-35,08769577","-72,0309036",Maule,8.530000000000001
Curicó,"-34,9838424","-71,2410553",Maule,16377.925317
Dalcahue,"-42,38625795","-73,66235539",Los Lagos,44429.08962
Diego de Almagro,"-26,237688","-69,5612646",Atacama,12935.339
Doñihue,"-34,20761831","-70,89624403",Libertador Gral. Bernardo O'Higgins,47828.8822
El Bosque,"-33,5539758","-70,67501011",Metropolitana de Santiago,12162.8968
El Carmen,"-36,89686969","-72,04051943",Ñuble,52.637
El Monte,"-33,68915647","-71,04718944",Metropolitana de Santiago,62325.338289
El Quisco,"-33,39663603","-71,69468943",Valparaíso,172.107
El Tabo,"-33,51762303","-71,60520303",Valparaíso,269.017
Empedrado,"-35,57702841","-72,40448018",Maule,36.687
