Código región;Región;Código provincia;Provincia;Código comuna;COMUNA;Población censada;Hombres;Mujeres;Razón hombre-mujer;% personas de 65 años o más
8;Biobío;83;Biobío;8304;Laja;23.706;11.451;12.255;93,4;16,6%
8;Biobío;83;Biobío;8305;Mulchén;29.036;14.093;14.943;94,3;16,3%
8;Biobío;83;Biobío;8306;Nacimiento;26.140;12.790;13.350;95,8;15,3%
8;Biobío;83;Biobío;8307;Negrete;10.723;5.273;5.450;96,8;15,4%
8;Biobío;83;Biobío;8308;Quilaco;4.440;2.210;2.230;99,1;21,9%
8;Biobío;83;Biobío;8309;Quilleco;9.700;4.826;4.874;99,0;20,4%
8;Biobío;83;Biobío;8310;San Rosendo;3.575;1.753;1.822;96,2;19,4%
8;Biobío;83;Biobío;8311;Santa Bárbara;14.075;6.847;7.228;94,7;17,0%
8;Biobío;83;Biobío;8312;Tucapel;15.729;7.568;8.161;92,7;18,7%
8;Biobío;83;Biobío;8313;Yumbel;23.170;11.359;11.811;96,2;19,8%
8;Biobío;83;Biobío;8314;Alto Biobío;6.016;3.005;3.011;99,8;9,2%
9;La Araucanía;91;Cautín;9101;Temuco;292.518;138.163;154.355;89,5;13,3%
9;La Araucanía;91;Cautín;9102;Carahue;24.957;12.208;12.749;95,8;17,8%
9;La Araucanía;91;Cautín;9103;Cunco;19.177;9.368;9.809;95,5;20,1%
9;La Araucanía;91;Cautín;9104;Curarrehue;7.733;3.901;3.832;101,8;14,6%
9;La Araucanía;91;Cautín;9105;Freire;26.164;13.029;13.135;99,2;17,5%
9;La Araucanía;91;Cautín;9106;Galvarino;12.710;6.360;6.350;100,2;16,2%
9;La Araucanía;91;Cautín;9107;Gorbea;14.148;6.778;7.370;92,0;20,6%
9;La Araucanía;91;Cautín;9108;Lautaro;41.936;20.197;21.739;92,9;13,7%
9;La Araucanía;91;Cautín;9109;Loncoche;25.158;12.201;12.957;94,2;18,1%
9;La Araucanía;91;Cautín;9110;Melipeuco;6.796;3.342;3.454;96,8;18,7%
9;La Araucanía;91;Cautín;9111;Nueva Imperial;33.988;16.546;17.442;94,9;17,0%
9;La Araucanía;91;Cautín;9112;Padre Las Casas;80.656;38.960;41.696;93,4;12,4%
9;La Araucanía;91;Cautín;9113;Perquenco;7.438;3.631;3.807;95,4;16,0%
9;La Araucanía;91;Cautín;9114;Pitrufquén;27.041;12.988;14.053;92,4;16,9%
9;La Araucanía;91;Cautín;9115;Pucón;32.321;15.767;16.554;95,2;13,5%
9;La Araucanía;91;Cautín;9116;Saavedra;12.877;6.275;6.602;95,0;19,3%
9;La Araucanía;91;Cautín;9117;Teodoro Schmidt;15.639;7.758;7.881;98,4;20,0%
9;La Araucanía;91;Cautín;9118;Toltén;10.041;4.941;5.100;96,9;18,6%
9;La Araucanía;91;Cautín;9119;Vilcún;31.575;15.386;16.189;95,0;13,7%
9;La Araucanía;91;Cautín;9120;Villarrica;67.737;32.807;34.930;93,9;14,5%
9;La Araucanía;91;Cautín;9121;Cholchol;13.167;6.578;6.589;99,8;15,6%
9;La Araucanía;92;Malleco;9201;Angol;53.022;25.143;27.879;90,2;15,5%
9;La Araucanía;92;Malleco;9202;Collipulli;24.303;11.731;12.572;93,3;15,4%
9;La Araucanía;92;Malleco;9203;Curacautín;18.536;8.944;9.592;93,2;19,0%
9;La Araucanía;92;Malleco;9204;Ercilla;7.730;3.750;3.980;94,2;15,8%
9;La Araucanía;92;Malleco;9205;Lonquimay;10.247;5.125;5.122;100,1;15,5%
9;La Araucanía;92;Malleco;9206;Los Sauces;7.348;3.636;3.712;98,0;17,9%
9;La Araucanía;92;Malleco;9207;Lumaco;9.253;4.691;4.562;102,8;17,1%
9;La Araucanía;92;Malleco;9208;Purén;12.184;5.793;6.391;90,6;17,2%
9;La Araucanía;92;Malleco;9209;Renaico;10.686;5.150;5.536;93,0;15,5%
9;La Araucanía;92;Malleco;9210;Traiguén;18.873;8.971;9.902;90,6;18,6%
9;La Araucanía;92;Malleco;9211;Victoria;34.464;16.600;17.864;92,9;17,0%
10;Los Lagos;101;Llanquihue;10101;Puerto Montt;277.040;136.544;140.496;97,2;10,3%
10;Los Lagos;101;Llanquihue;10102;Calbuco;36.474;18.374;18.100;101,5;14,8%
10;Los Lagos;101;Llanquihue;10103;Cochamó;4.199;2.213;1.986;111,4;19,7%
