Código región;Región;Código provincia;Provincia;Código comuna;COMUNA;Población censada;Hombres;Mujeres;Razón hombre-mujer;% personas de 65 años o más
16;Ñuble;161;Diguillín;16106;Pinto;12.502;6.120;6.382;95,9;17,9%
16;Ñuble;161;Diguillín;16107;Quillón;19.165;9.375;9.790;95,8;21,1%
16;Ñuble;161;Diguillín;16108;San Ignacio;17.405;8.556;8.849;96,7;18,2%
16;Ñuble;161;Diguillín;16109;Yungay;18.680;9.232;9.448;97,7;18,0%
16;Ñuble;162;Itata;16201;Quirihue;11.746;5.685;6.061;93,8;19,0%
16;Ñuble;162;Itata;16202;Cobquecura;5.495;2.693;2.802;96,1;23,5%
16;Ñuble;162;Itata;16203;Coelemu;15.895;7.760;8.135;95,4;18,6%
16;Ñuble;162;Itata;16204;Ninhue;5.763;2.831;2.932;96,6;21,3%
16;Ñuble;162;Itata;16205;Portezuelo;5.203;2.588;2.615;99,0;21,6%
16;Ñuble;162;Itata;16206;Ránquil;6.508;3.197;3.311;96,6;22,8%
16;Ñuble;162;Itata;16207;Trehuaco;6.124;3.069;3.055;100,5;19,1%
16;Ñuble;163;Punilla;16301;San Carlos;55.847;26.745;29.102;91,9;17,0%
16;Ñuble;163;Punilla;16302;Coihueco;29.766;14.681;15.085;97,3;14,2%
16;Ñuble;163;Punilla;16303;Ñiquén;12.797;6.416;6.381;100,5;21,7%
16;Ñuble;163;Punilla;16304;San Fabián;5.245;2.569;2.676;96,0;18,3%
16;Ñuble;163;Punilla;16305;San Nicolás;15.099;7.516;7.583;99,1;17,1%
